BOROUGH FIELD SUPPORT CENTERS,SUPERINTENDENT,DISTRICT CODE,SCHOOL DBN,SCHOOL NAME,EMPLOYEE ID,LAST NAME,FIRST NAME,MOTP POINTS,MOTP RATING,MOSL POINTS STATE,MOSL RATING STATE,MOSL POINTS LOCAL,MOSL RATING LOCAL,OVERALL POINTS,OVERALL RATING
Region 1,Bowser,6,05Z061,PS 123,98374509280,Dossan,Mana,49,Developing,15,Effective,15,Effective,79,Effective
Region 1,Bowser,6,05Z061,PS 123,45687948,Tongan,Bika,53,Effective,15,Effective,18,Highly Effective,86,Effective
Region 1,Bowser,6,05Z061,PS 123,930927,Bongo,Kavro,45,Effective,16,Effective,20,Highly Effective,81,Effective
Region 1,Bowser,6,05Z061,PS 123,394857290,Katuh,Libe,56,Highly Effective,15,Effective,15,Effective,86,Effective
Region 1,Bowser,6,05Z061,PS 123,893478,Cura,Lokia,50,Effective,15,Effective,15,Effective,80,Effective
Region 1,Bowser,6,05Z061,PS 123,873903,Ecill,Domale,50,Effective,15,Effective,20,Highly Effective,85,Effective
Region 1,Bowser,6,05Z061,PS 123,23734859,Ato,Anyldo,48,Developing,9,Ineffective,20,Highly Effective,77,Effective
Region 1,Bowser,6,05Z061,PS 123,5688569,Za,Bodob,55,Highly Effective,16,Effective,13,Developing,84,Effective
Region 1,Bowser,6,05Z061,PS 123,4785669,Iro,Nymuvr,48,Developing,15,Effective,15,Effective,78,Effective
Region 1,Bowser,6,05Z061,PS 123,35956940,Zal,Jugur,47,Developing,16,Effective,13,Developing,76,Effective
Region 1,Bowser,6,05Z061,PS 123,30530350,Hole,Murr,49,Developing,16,Effective,15,Effective,80,Effective
Region 1,Bowser,6,05Z061,PS 123,30056488,Ape,Laz,54,Effective,15,Effective,15,Effective,84,Effective
Region 1,Bowser,6,05Z061,PS 123,237850,Ije,Lak,51,Effective,15,Effective,15,Effective,81,Effective
Region 1,Bowser,6,05Z061,PS 123,4834899846,Hap,Jog,53,Effective,17,Effective,16,Effective,86,Effective
Region 1,Bowser,6,05Z061,PS 123,4684603,Ira,Kato,45,Developing,17,Effective,20,Highly Effective,82,Effective
Region 2,Bowser,7,05Z061,PS 123,4684604,Georg,Washington,46,Developing,11,Effective,15,Effective,72,Developing
Region 3,Bowser,8,05Z061,PS 123,4684605,Mari,Reynold,46,Developing,10,Effective,11,Developing,67,Effective
Region 4,Bowser,9,05Z061,PS 123,4684606,Aaro,Bur,47,Developing,14,Effective,12,Developing,73,Effective
Region 5,Bowser,10,05Z061,PS 123,4684607,Eliz,Hamilton,50,Effective,9,Ineffective,15,Effective,74,Developing
Region 6,Bowser,11,05Z061,PS 123,4684608,Hercule,Mulligan,50,Effective,15,Effective,11,Developing,76,Effective
Region 7,Bowser,12,05Z061,PS 123,4684609,Angelic,Schulye,51,Effective,8,Ineffective,16,Effective,75,Effective
Region 8,Bowser,13,05Z061,PS 123,4684610,Charle,Le,48,Developing,13,Effective,12,Developing,73,Developing
Region 9,Bowser,14,05Z061,PS 123,4684611,Samue,Seabur,44,Developing,14,Effective,15,Effective,73,Developing
Region 10,Bowser,15,05Z061,PS 123,4684612,Thoma,Jefferson,43,Developing,12,Effective,18,Effective,73,Developing
Region 11,Bowser,16,05Z061,PS 123,4684613,Georg,Eacke,56,Highly Effective,18,Effective,20,Highly Effective,94,Highly Effective
Region 12,Bowser,17,05Z061,PS 123,4684614,Marqui,deLafaette,51,Effective,17,Effective,15,Effective,83,Effective
Region 13,Bowser,18,05Z061,PS 123,4684615,Pegg,Schulye,53,Effective,20,Highly Effective,16,Effective,89,Effective
Region 14,Bowser,19,05Z061,PS 123,4684616,Janic,Hamilton,57,Highly Effective,16,Effective,9,Ineffective,82,Effective
Region 15,Bowser,20,05Z061,PS 123,4684617,Phili,Hamilton,58,Highly Effective,12,Effective,20,Highly Effective,90,Highly Effective
